,steamId,name,publisherClass,price,sales,img_count,link_count,sales_adj,name_len,name_capital_ratio,name_digit_ratio,name_special_ratio,description_len,description_capital_ratio,description_digit_ratio,description_special_ratio,description_stopword_ratio,description_avg_word_len,tags_2D,tags_Action,tags_Adventure,tags_Anime,tags_Atmospheric,tags_Casual,tags_Cute,tags_Exploration,tags_Female_Protagonist,tags_FirstPerson,tags_Horror,tags_Indie,tags_JRPG,tags_Multiplayer,tags_Nudity,tags_Open_World,tags_Pixel_Graphics,tags_Platformer,tags_Point__Click,tags_Psychological_Horror,tags_Puzzle,tags_RPG,tags_Sexual_Content,tags_Simulation,tags_Singleplayer,tags_Sports,tags_Story_Rich,tags_Strategy,tags_VR,tags_Visual_Novel,genres_Action,genres_Adventure,genres_Casual,genres_Early_Access,genres_Indie,genres_Massively_Multiplayer,genres_RPG,genres_Racing,genres_Simulation,genres_Sports,genres_Strategy,features_Captions_available,features_Commentary_available,features_CrossPlatform_Multiplayer,features_Family_Sharing,features_HDR_available,features_InApp_Purchases,features_Includes_level_editor,features_LAN_Coop,features_LAN_PvP,features_MMO,features_Online_Coop,features_Online_PvP,features_Profile_Features_Limited,features_Remote_Play_Together,features_Remote_Play_on_Phone,features_Remote_Play_on_TV,features_Remote_Play_on_Tablet,features_SharedSplit_Screen_Coop,features_SharedSplit_Screen_PvP,features_Singleplayer,features_Stats,features_Steam_Achievements,features_Steam_Cloud,features_Steam_Leaderboards,features_Steam_Trading_Cards,features_Steam_Turn_Notifications,features_Steam_Workshop,features_Tracked_Controller_Support,features_VR_Only,features_VR_Supported
7833,338890,Harold,Indie,19.99,1138,0,0,711,6,0.16666666666666666,0.0,0.0,1660,0.015060240963855422,0.0024096385542168677,0.19518072289156627,0.36996336996337,5.010989010989011,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0
4487,1812060,Yokai Art: Night Parade of One Hundred Demons,Indie,4.99,10545,2,2,9304,45,0.15555555555555556,0.0,0.17777777777777778,1193,0.03604358759430008,0.00586756077116513,0.1768650461022632,0.3192771084337349,6.186746987951807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
3965,766320,The Mage's Tale,Indie,39.99,2165,1,0,2095,15,0.2,0.0,0.2,1054,0.028462998102466792,0.0,0.20398481973434535,0.37777777777777777,4.833333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0
2183,1776970,月に寄りそう乙女の作法,Indie,39.99,9349,0,1,6233,11,0.0,0.0,0.0,1313,0.015232292460015232,0.019801980198019802,0.11424219345011424,0.0,58.72727272727273,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
10445,1096060,Teenage Blob,Indie,7.99,932,5,0,571,12,0.16666666666666666,0.0,0.08333333333333333,2145,0.031235431235431235,0.004662004662004662,0.2153846153846154,0.3377659574468085,4.664893617021277,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0
8740,1581170,The Hundred Year Kingdom,Indie,12.99,1453,6,0,752,24,0.16666666666666666,0.0,0.125,1011,0.01483679525222552,0.002967359050445104,0.19485657764589515,0.4235294117647059,4.947058823529412,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
3756,386770,Caladrius Blaze,Indie,24.99,3967,0,0,2429,15,0.13333333333333333,0.0,0.06666666666666667,1741,0.03618609994256174,0.0005743825387708214,0.18093049971280872,0.35,5.2214285714285715,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0
6790,1037590,Neptunia Shooter,Indie,3.99,7424,0,0,6363,16,0.125,0.0,0.0625,1369,0.02556610664718773,0.002191380569758948,0.19576333089846604,0.3482142857142857,5.089285714285714,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
368,293760,Automation - The Car Company Tycoon Game,Indie,29.99,9121,6,0,5473,40,0.15,0.0,0.175,2564,0.022230889235569422,0.0062402496099844,0.1860374414976599,0.4045226130653266,5.4296482412060305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2608,1687000,Fading Afternoon,Indie,19.99,16755,1,0,15708,16,0.125,0.0,0.0625,297,0.03367003367003367,0.0,0.22895622895622897,0.29411764705882354,4.8431372549019605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
