,steamId,name,publisherClass,price,sales,img_count,link_count,sales_adj,name_len,name_capital_ratio,name_digit_ratio,name_special_ratio,description_len,description_capital_ratio,description_digit_ratio,description_special_ratio,description_stopword_ratio,description_avg_word_len,tags_2D,tags_Action,tags_Adventure,tags_Anime,tags_Atmospheric,tags_Casual,tags_Cute,tags_Exploration,tags_Female_Protagonist,tags_FirstPerson,tags_Horror,tags_Indie,tags_JRPG,tags_Multiplayer,tags_Nudity,tags_Open_World,tags_Pixel_Graphics,tags_Platformer,tags_Point__Click,tags_Psychological_Horror,tags_Puzzle,tags_RPG,tags_Sexual_Content,tags_Simulation,tags_Singleplayer,tags_Sports,tags_Story_Rich,tags_Strategy,tags_VR,tags_Visual_Novel,genres_Action,genres_Adventure,genres_Casual,genres_Early_Access,genres_Indie,genres_Massively_Multiplayer,genres_RPG,genres_Racing,genres_Simulation,genres_Sports,genres_Strategy,features_Captions_available,features_Commentary_available,features_CrossPlatform_Multiplayer,features_Family_Sharing,features_HDR_available,features_InApp_Purchases,features_Includes_level_editor,features_LAN_Coop,features_LAN_PvP,features_MMO,features_Online_Coop,features_Online_PvP,features_Profile_Features_Limited,features_Remote_Play_Together,features_Remote_Play_on_Phone,features_Remote_Play_on_TV,features_Remote_Play_on_Tablet,features_SharedSplit_Screen_Coop,features_SharedSplit_Screen_PvP,features_Singleplayer,features_Stats,features_Steam_Achievements,features_Steam_Cloud,features_Steam_Leaderboards,features_Steam_Trading_Cards,features_Steam_Turn_Notifications,features_Steam_Workshop,features_Tracked_Controller_Support,features_VR_Only,features_VR_Supported
10726,2657600,Rotten Flesh - Cosmic Horror Survival Game,Indie,11.99,1689,14,1,1583,42,0.14285714285714285,0.0,0.16666666666666666,3796,0.02660695468914647,0.0,0.2041622760800843,0.4401840490797546,4.800613496932515,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8599,517370,Tavernier,Indie,2.99,4395,1,0,3564,9,0.1111111111111111,0.0,0.0,872,0.014908256880733946,0.0,0.20642201834862386,0.43506493506493504,4.6103896103896105,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
7911,491220,Mr. Pumpkin Adventure,Indie,1.99,4156,0,0,2267,21,0.14285714285714285,0.0,0.14285714285714285,233,0.030042918454935622,0.0,0.20600858369098712,0.41025641025641024,5.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
5099,2219820,Kunoichi Demon Slayers,Indie,12.99,7008,7,1,6371,22,0.13636363636363635,0.0,0.09090909090909091,604,0.011589403973509934,0.0,0.19205298013245034,0.3711340206185567,5.237113402061856,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2985,600370,Paradigm,Indie,14.99,9062,5,0,4769,8,0.125,0.0,0.0,1857,0.029617662897145933,0.004846526655896607,0.20301561658589123,0.3300653594771242,5.0359477124183005,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
9457,2204830,Street Lords,Indie,14.99,2056,6,0,1928,12,0.16666666666666666,0.0,0.08333333333333333,1838,0.018498367791077257,0.0,0.1882480957562568,0.33807829181494664,5.505338078291815,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5414,463980,Solitairica,Indie,7.19,3488,1,0,3375,11,0.09090909090909091,0.0,0.0,1489,0.019476158495634655,0.0,0.18670248488918736,0.3644067796610169,5.313559322033898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
6993,1262040,Super Mombo Quest,Indie,14.99,1039,4,0,528,17,0.17647058823529413,0.0,0.11764705882352941,1166,0.12950257289879932,0.0,0.18867924528301888,0.33507853403141363,5.104712041884817,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6001,351490,Intergalactic Bubbles,Indie,4.99,289,0,1,263,21,0.09523809523809523,0.0,0.047619047619047616,503,0.027833001988071572,0.009940357852882704,0.18886679920477137,0.26666666666666666,5.68,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
3341,1399840,Neptunia Virtual Stars,Indie,39.99,2947,0,0,2679,22,0.13636363636363635,0.0,0.09090909090909091,1773,0.05527354765933446,0.0,0.19063733784545966,0.3263888888888889,5.138888888888889,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
